,username,following,followers,retweetcount,text,date
109,TheGuySwann,2440,56520,23,"BiTCoiN WiLl HAvE tO sWiTcH To ProOF oF StAKe! 🙃

- Solana https://t.co/9oBZH86duv",2014-03-22 03:09:06+00:00
110,Jus__izzy,2209,777,397,"Missed Time NFT?

&gt; how to win a gas war on an nft drop 101 (as someone who wins 99.8% of them): 

Stage 1: Preparation
&gt; open the drop website on tab 1
&gt; find and open the drop’s contract on etherscan on tab 2
&gt; open https://t.co/U28e4Je8PE on tab 3

Stage 2: Minting

a thread:",2021-07-18 07:04:49+00:00
111,bitcoincandle,4,38,0,"Candle of day 30/04/2022 closed.

Open: $ 38,603.35
High: $ 38,793.68
Low: $ 37,671.67
Close: $ 37,695.71

Change: -2.41%

#Bitcoin #Candle #BearMarket",2021-01-06 01:36:48+00:00
112,deuxsdo,3,6,0,"@LayahHeilpern #Bitcoin   always recover if you wait long enough, If there is any coin not to ever underrate then is BTC because the pump will always happen.

If you aren’t following @Bizdaw you should be. There aren’t many who have a better understanding of value investing, great tweets &amp; tips",2012-05-25 01:44:57+00:00
113,WynonaRyleigh,4992,618,11400,"Explore Phemex Universe🌍 and visit planet Bitcoin, Ethereum, Sand, and Doge 🤩 to collect your very own Citizen Phemex card.🎴 

Grab your card and earn bonuses now🔽 
https://t.co/6ZQKNyGxBz

#PhemexUniverse #Blockchain #Giveaway #PhemexCitizen #NFTs #Games #EarnBonus #phemex https://t.co/WiHx0Ecaw7",2022-02-07 19:46:33+00:00
114,vin_o_nz,946,202,1925,So I hear Warren Buffett &amp; Charlie Munger are marketing #Bitcoin again...,2009-07-08 11:11:27+00:00
115,jxavierf74,353,171,0,@jhgage1 @KeillerDon @dennywhite11 @edwnorris1 @bitcoin_eagle @WEschenbach @LazyyReader @Veritatem2021 We need to eliminate the CO2 being emitted by the oceans as they contribute to 95% of CO2 in the atmos.  The most viable solution is to fill the oceans with soil…this will also have the added benefit of providing more usable land for agriculture.  WE MUST ACT NOW,2016-04-17 22:31:35+00:00
116,wswarm,235,1382,0,"@blockstralia @crist_chelsea @CJSakamoto15 @KennyD21m Thanks @blockstralia! We’re actually providing fully functional smart contract examples, and how to use Etherscan to check for more smart contract source code. Next week we will also have a Stacks 2.0 smart contract deployment on Bitcoin‼️ Easy to learn according to @insanehitz",2009-04-10 21:18:30+00:00
117,RogerJUlrichJr,5001,2321,1,"I'm going to assume this dump is attributed to investors de-risking digital assets in light of coming interest rate hikes, inflation, and GDP dips. 

#crypto #cryptocrash #btc #bitcoin #eth #ethereum #altcoin #altcoins",2021-02-03 04:08:19+00:00
118,teddarby1981,831,176,2,"$BTC 3-day.  
Refuse to break support.  #btc #bitcoin 

Linear 3D chart 👇 https://t.co/XJvaDU2VLS",2015-05-07 22:53:30+00:00
119,asimansi,785,277,0,"“Whether it goes up or down in the next year, or five or 10 years, I don't know. But the one thing I'm pretty sure of is that it doesn't produce anything,” -Buffett said of cryptocurrency 
#Bitcoin",2011-05-24 14:16:24+00:00
120,DegenTech_Sol,253,52,122,"@zengjiajun_eth Bitcoin, not crypto.

Like:

A: ""Oh I'm really into bitcoins, I love all the decentralized governance and DAOs happening there""
B: ""Which bitcoin is your favorite?""
A: ""Oh I like Solana, also Tezos, the founder is a good guy, French, believes in anarchocapitalist stuff""",2021-10-04 06:50:17+00:00
